timestamp,service,operation,duration_ms,input_size,output_size,tool_count,success
2025-07-11T15:49:45.534405,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T16:08:26.320854,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T16:11:34.275404,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T16:11:37.286965,deployment,full_deployment,13357.69,0,0,0,True
2025-07-11T16:24:20.854217,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T16:24:23.872277,deployment,full_deployment,13486.03,0,0,0,True
2025-07-11T16:33:50.038158,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T16:33:53.043686,deployment,full_deployment,13275.17,0,0,0,True
2025-07-11T16:54:05.891518,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T16:54:08.905164,deployment,full_deployment,14235.88,0,0,0,True
2025-07-11T17:18:34.229377,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T17:18:37.237900,deployment,full_deployment,13901.74,0,0,0,True
2025-07-11T17:18:58.078112,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T17:19:01.090046,deployment,full_deployment,13590.87,0,0,0,True
2025-07-11T17:20:31.566907,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T17:20:34.576376,deployment,full_deployment,13297.68,0,0,0,True
2025-07-11T17:25:03.322773,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T17:25:06.331673,deployment,full_deployment,13890.02,0,0,0,True
2025-07-11T17:26:12.850757,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T17:26:15.861420,deployment,full_deployment,13714.35,0,0,0,True
2025-07-11T17:28:20.580660,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T17:28:23.590679,deployment,full_deployment,13416.28,0,0,0,True
2025-07-11T17:33:22.038719,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T17:33:25.045574,deployment,full_deployment,13777.12,0,0,0,True
2025-07-11T21:10:18.174853,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T21:10:21.188433,deployment,full_deployment,14325.8,0,0,0,True
2025-07-11T21:13:37.121963,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T21:13:40.134190,deployment,full_deployment,12273.35,0,0,0,True
2025-07-11T21:15:18.767335,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T21:15:21.775961,deployment,full_deployment,12291.38,0,0,0,True
2025-07-11T21:17:15.478598,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T21:17:18.486474,deployment,slack_bot_startup,3000,0,0,0,True
2025-07-11T21:17:18.486946,deployment,full_deployment,12336.23,0,0,0,True
2025-07-11T21:20:17.027632,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T21:20:20.035880,deployment,full_deployment,12292.48,0,0,0,True
2025-07-11T21:25:43.103214,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T21:25:46.114783,deployment,full_deployment,12452.18,0,0,0,True
2025-07-11T21:37:34.144039,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T21:37:37.153221,deployment,slack_bot_startup,3000,0,0,0,True
2025-07-11T21:37:37.154051,deployment,full_deployment,12278.57,0,0,0,True
2025-07-11T22:15:43.126960,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T22:15:46.135176,deployment,full_deployment,16047.74,0,0,0,True
2025-07-11T22:58:48.122136,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T22:58:51.132458,deployment,full_deployment,14170.05,0,0,0,True
2025-07-11T23:13:34.889910,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T23:13:37.895520,deployment,full_deployment,13827.27,0,0,0,True
2025-07-11T23:14:38.670943,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T23:14:41.678420,deployment,full_deployment,13959.43,0,0,0,True
2025-07-11T23:18:04.072332,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T23:18:07.079970,deployment,full_deployment,13989.44,0,0,0,True
2025-07-11T23:23:34.234909,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T23:23:37.243444,deployment,full_deployment,13941.76,0,0,0,True
2025-07-11T23:39:03.193299,deployment,streamlit_startup,5000,0,0,0,True
2025-07-11T23:39:06.200812,deployment,full_deployment,14095.17,0,0,0,True
